0,1.58592e-33
1,1.21911e-33
2,1.30953e-33
3,8.2822e-34
4,2.00034e-33
5,1.43452e-33
6,1.72408e-33
7,1.01436e-33
8,2.29324e-33
9,7.56058e-34
10,1.91269e-33
11,1.54946e-33
12,1.12141e-33
13,1.35248e-33
14,2.16502e-33
15,1.94235e-33
16,1.21911e-33
17,1.85196e-33
18,2.16502e-33
19,1.58592e-33
20,1.26513e-33
21,1.58592e-33
22,1.51212e-33
23,1.06923e-33
24,1.35248e-33
25,8.2822e-34
26,1.3941e-33
27,1.12141e-33
28,2.13845e-33
29,5.8564e-34
30,6.76238e-34
31,1.01436e-33
32,6.97051e-34
33,7.17259e-34
34,6.76238e-34
35,8.94579e-34
36,7.36914e-34
37,7.17259e-34
38,9.41284e-34
39,1.3204e-33
40,7.56058e-34
41,8.2822e-34
42,7.74728e-34
43,9.41284e-34
44,6.97051e-34
45,9.56346e-34
46,9.56346e-34
47,1.01436e-33
48,1.21911e-33
49,1.08251e-33
50,1.12141e-33
51,8.2822e-34
52,7.74728e-34
53,1.25378e-33
54,7.9296e-34
55,9.25978e-34
56,9.41284e-34
57,6.97051e-34
58,1.01436e-33
59,5.34613e-34
60,1.14662e-33
61,8.45298e-34
62,7.17259e-34
63,5.60707e-34
64,5.07179e-34
65,5.34613e-34
66,5.79507e-34
67,5.8564e-34
68,7.36914e-34
69,8.06363e-34
70,8.0192e-34
71,6.81501e-34
72,6.91906e-34
73,8.49514e-34
74,7.41746e-34
75,7.02157e-34
76,6.54765e-34
77,4.55207e-34
78,4.22649e-34
79,3.27383e-34
80,5.07179e-34
81,5.47816e-34
82,4.4729e-34
83,4.70642e-34
84,3.48525e-34
85,3.78029e-34
86,4.92889e-34
87,4.92889e-34
88,4.05391e-34
89,3.9648e-34
90,3.87364e-34
91,5.54299e-34
92,4.78173e-34
93,5.54299e-34
94,4.3923e-34
95,4.78173e-34
96,3.27383e-34
97,4.22649e-34
98,4.3923e-34
99,3.16282e-34
100,2.67307e-34
