xcl,ycl,xvcl,yvcl,xlt,ylt,xvlt,yvlt,xtt,ytt,xvtt,yvtt
36.058168,30.633218,-0.000000,0.0000000.146683,0.106681,35.944806,30.573032,-0.000000138,0.000000135,36.157840,30.735583,-0.000000,0.000000
35.920500,30.769069,-0.000000,0.0000000.203720,0.122456,35.812540,30.723642,-0.000000139,0.000000134,36.042903,30.870728,-0.000000,0.000000
35.782232,30.904405,-0.000000,0.0000000.042968,0.105288,35.696193,30.826684,-0.000000139,0.000000134,35.851575,30.989475,-0.000000,0.000000
35.643365,31.039224,-0.000000,0.0000000.040115,0.123640,35.526374,30.915263,-0.000000139,0.000000134,35.746617,31.135476,-0.000000,0.000000
35.503900,31.173522,-0.000000,0.0000000.079396,0.168779,35.441303,31.052181,-0.000000140,0.000000133,35.594881,31.264534,-0.000000,0.000000
35.363841,31.307299,-0.000000,0.0000000.087508,0.121297,35.256822,31.214098,-0.000000141,0.000000133,35.456163,31.418596,-0.000000,0.000000
35.223189,31.440550,-0.000000,0.0000000.022167,0.106743,35.101063,31.361797,-0.000000141,0.000000132,35.347589,31.489820,-0.000000,0.000000
35.081946,31.573274,-0.000000,0.0000000.208003,0.031103,35.000969,31.441173,-0.000000142,0.000000131,35.176407,31.647223,-0.000000,0.000000
34.940114,31.705468,-0.000000,0.0000000.069423,0.137725,34.829266,31.594227,-0.000000142,0.000000131,35.078722,31.821591,-0.000000,0.000000
34.797695,31.837129,-0.000000,0.0000000.033679,0.145703,34.690538,31.719150,-0.000000143,0.000000131,34.928754,32.007433,-0.000000,0.000000
34.654691,31.968255,-0.000000,0.0000000.047054,0.148270,34.513492,31.903370,-0.000000143,0.000000130,34.789845,32.068568,-0.000000,0.000000
34.511103,32.098843,-0.000000,0.0000000.145116,0.062691,34.430142,32.022885,-0.000000144,0.000000129,34.636592,32.204374,-0.000000,0.000000
34.366935,32.228891,-0.000000,0.0000000.050129,0.080523,34.276915,32.114942,-0.000000144,0.000000129,34.494410,32.303013,-0.000000,0.000000
34.222188,32.358396,-0.000000,0.0000000.081184,0.030018,34.139511,32.284613,-0.000000145,0.000000128,34.338923,32.444287,-0.000000,0.000000
34.076865,32.487356,-0.000000,0.0000000.066865,0.154928,33.971937,32.424737,-0.000000146,0.000000128,34.204579,32.622719,-0.000000,0.000000
33.930966,32.615767,-0.000000,0.0000000.117162,0.118148,33.830685,32.559639,-0.000000146,0.000000127,34.035749,32.687200,-0.000000,0.000000
33.784495,32.743629,-0.000000,0.0000000.110149,0.140780,33.663236,32.648096,-0.000000147,0.000000127,33.908469,32.819491,-0.000000,0.000000
33.637454,32.870937,-0.000000,0.0000000.156887,0.087622,33.582405,32.762545,-0.000000148,0.000000126,33.738969,32.984436,-0.000000,0.000000
33.489844,32.997690,-0.000000,0.0000000.193538,0.186058,33.440682,32.890589,-0.000000148,0.000000125,33.541306,33.032860,-0.000000,0.000000
33.341668,33.123885,-0.000000,0.0000000.111452,0.067865,33.252638,33.036988,-0.000000149,0.000000125,33.409197,33.201795,-0.000000,0.000000
33.192928,33.249520,-0.000000,0.0000000.057104,0.112830,33.098340,33.129908,-0.000000149,0.000000124,33.293433,33.333551,-0.000000,0.000000
33.043626,33.374592,-0.000000,0.0000000.065779,0.160224,32.975639,33.322388,-0.000000150,0.000000124,33.143627,33.496495,-0.000000,0.000000
32.893764,33.499098,-0.000000,0.0000000.168024,0.092301,32.817103,33.315689,-0.000000151,0.000000123,32.998371,33.580378,-0.000000,0.000000
32.743345,33.623037,-0.000000,0.0000000.223308,0.091992,32.699957,33.566421,-0.000000151,0.000000122,32.859623,33.730654,-0.000000,0.000000
32.592370,33.746405,-0.000000,0.0000000.037069,0.092717,32.483700,33.598666,-0.000000151,0.000000122,32.670187,33.875301,-0.000000,0.000000
32.440842,33.869201,-0.000000,0.0000000.133893,0.078987,32.329308,33.736598,-0.000000152,0.000000121,32.590421,33.946867,-0.000000,0.000000
32.288763,33.991421,-0.000000,0.0000000.150170,0.056023,32.225902,33.905437,-0.000000153,0.000000121,32.323364,34.094389,-0.000000,0.000000
32.136135,34.113064,-0.000000,0.0000000.200549,0.098597,32.061457,33.987353,-0.000000153,0.000000120,32.228523,34.216062,-0.000000,0.000000
31.982961,34.234126,-0.000000,0.0000000.086836,0.085016,31.889543,34.190177,-0.000000154,0.000000120,32.057494,34.322681,-0.000000,0.000000
31.829243,34.354606,-0.000000,0.0000000.167553,0.136627,31.687810,34.270453,-0.000000154,0.000000119,31.926755,34.499006,-0.000000,0.000000
31.674983,34.474502,-0.000000,0.0000000.141919,0.098399,31.571816,34.399162,-0.000000155,0.000000118,31.812439,34.600883,-0.000000,0.000000
31.520183,34.593810,-0.000000,0.0000000.180963,0.120902,31.375216,34.448850,-0.000000155,0.000000118,31.658260,34.750918,-0.000000,0.000000
31.364846,34.712528,-0.000000,0.0000000.042839,0.124974,31.287368,34.622107,-0.000000156,0.000000118,31.425420,34.859467,-0.000000,0.000000
31.208973,34.830654,-0.000000,0.0000000.058455,0.167158,31.144856,34.722603,-0.000000156,0.000000117,31.348434,34.978145,-0.000000,0.000000
31.052568,34.948185,-0.000000,0.0000000.113661,0.127098,30.977701,34.804637,-0.000000157,0.000000116,31.179173,35.077987,-0.000000,0.000000
30.895633,35.065120,-0.000000,0.0000000.112331,0.069361,30.808151,34.991757,-0.000000157,0.000000116,31.024522,35.192887,-0.000000,0.000000
30.738170,35.181455,-0.000000,0.0000000.112862,0.171220,30.696443,35.065055,-0.000000158,0.000000115,30.809571,35.275894,-0.000000,0.000000
30.580181,35.297188,-0.000000,0.0000000.151378,0.091936,30.481326,35.202425,-0.000000159,0.000000114,30.624503,35.416994,-0.000000,0.000000
30.421668,35.412318,-0.000000,0.0000000.123585,0.180867,30.319706,35.275903,-0.000000159,0.000000114,30.512744,35.534797,-0.000000,0.000000
30.262635,35.526841,-0.000000,0.0000000.094562,0.017033,30.158164,35.435125,-0.000000159,0.000000113,30.331884,35.596510,-0.000000,0.000000
30.103083,35.640755,-0.000000,0.0000000.080016,0.151797,30.036673,35.526449,-0.000000160,0.000000113,30.199238,35.741657,-0.000000,0.000000
29.943015,35.754059,-0.000000,0.0000000.063934,0.073897,29.806738,35.611974,-0.000000160,0.000000112,30.001369,35.844575,-0.000000,0.000000
29.782434,35.866749,-0.000000,0.0000000.116054,0.182657,29.658926,35.759050,-0.000000161,0.000000111,29.827846,35.922280,-0.000000,0.000000
29.621341,35.978823,-0.000000,0.0000000.218676,0.069943,29.545075,35.830476,-0.000000162,0.000000110,29.691153,36.149065,-0.000000,0.000000
29.459739,36.090279,-0.000000,0.0000000.138740,0.136842,29.365220,35.975053,-0.000000162,0.000000110,29.522642,36.242594,-0.000000,0.000000
29.297631,36.201115,-0.000000,0.0000000.055976,0.137483,29.167525,36.098940,-0.000000162,0.000000110,29.438400,36.299451,-0.000000,0.000000
29.135019,36.311328,-0.000000,0.0000000.210191,0.085554,29.011334,36.215000,-0.000000163,0.000000108,29.248304,36.401037,-0.000000,0.000000
28.971906,36.420917,-0.000000,0.0000000.128826,0.084127,28.886545,36.291770,-0.000000164,0.000000108,29.045658,36.494617,-0.000000,0.000000
28.808293,36.529878,-0.000000,0.0000000.158890,0.112746,28.727582,36.360686,-0.000000164,0.000000107,28.930043,36.628811,-0.000000,0.000000
28.644185,36.638209,-0.000000,0.0000000.085824,0.063248,28.480455,36.560418,-0.000000164,0.000000107,28.722899,36.755680,-0.000000,0.000000
28.479582,36.745909,-0.000000,0.0000000.066411,0.143632,28.417345,36.596046,-0.000000165,0.000000106,28.578741,36.837768,-0.000000,0.000000
28.314488,36.852975,-0.000000,0.0000000.246232,0.193147,28.285609,36.692502,-0.000000166,0.000000105,28.388376,36.989979,-0.000000,0.000000
28.148905,36.959405,-0.000000,0.0000000.113852,0.061858,28.047838,36.868449,-0.000000166,0.000000105,28.255754,37.088495,-0.000000,0.000000
27.982837,37.065197,-0.000000,0.0000000.130018,0.127345,27.888870,36.908402,-0.000000166,0.000000104,28.097818,37.185553,-0.000000,0.000000
27.816284,37.170347,-0.000000,0.0000000.120627,0.180243,27.738439,37.049972,-0.000000167,0.000000104,27.872155,37.258482,-0.000000,0.000000
27.649250,37.274855,-0.000000,0.0000000.094329,0.092065,27.578971,37.131879,-0.000000167,0.000000103,27.700935,37.410706,-0.000000,0.000000
27.481738,37.378718,-0.000000,0.0000000.150728,0.062347,27.415453,37.270010,-0.000000168,0.000000102,27.542120,37.454880,-0.000000,0.000000
27.313750,37.481933,-0.000000,0.0000000.124797,0.120428,27.222779,37.430698,-0.000000168,0.000000102,27.419878,37.527516,-0.000000,0.000000
27.145288,37.584499,-0.000000,0.0000000.113937,0.151091,27.061005,37.481254,-0.000000169,0.000000101,27.235199,37.702918,-0.000000,0.000000
26.976356,37.686414,-0.000000,0.0000000.182869,0.124529,26.973325,37.576177,-0.000000169,0.000000100,27.032056,37.788266,-0.000000,0.000000
26.806956,37.787674,-0.000000,0.0000000.069347,0.086229,26.759797,37.633371,-0.000000170,0.000000100,26.883443,37.933020,-0.000000,0.000000
26.637090,37.888278,-0.000000,0.0000000.131877,0.124712,26.595952,37.785409,-0.000000170,0.000000099,26.736314,37.995371,-0.000000,0.000000
26.466762,37.988225,-0.000000,0.0000000.091376,0.111385,26.400753,37.911110,-0.000000171,0.000000099,26.611334,38.106065,-0.000000,0.000000
26.295974,38.087511,-0.000000,0.0000000.127051,0.123101,26.186129,37.956807,-0.000000171,0.000000098,26.378769,38.205459,-0.000000,0.000000
26.124728,38.186134,-0.000000,0.0000000.129382,0.127071,26.006239,38.023891,-0.000000172,0.000000097,26.170814,38.319786,-0.000000,0.000000
25.953028,38.284094,-0.000000,0.0000000.089553,0.072034,25.876717,38.199140,-0.000000172,0.000000097,26.050125,38.397753,-0.000000,0.000000
25.780876,38.381386,-0.000000,0.0000000.101854,0.203693,25.661713,38.193684,-0.000000172,0.000000096,25.857945,38.505502,-0.000000,0.000000
